title,gross,genre,Movie Genre
Star Wars: Episode VII - The Force Awakens,"$8,518,059,895",Heroine,Action
Star Wars: Episode VII - The Force Awakens,"$51,695,065,316",3D,Action
Star Wars: Episode VII - The Force Awakens,"$72,283,944,804",Adventure,Adventure
Star Wars: Episode VII - The Force Awakens,"$57,716,045,378",IMAX,Action
Star Wars: Episode VII - The Force Awakens,"$62,229,512,002",Supernatural,Action
Avengers: Endgame,"$27,719,738,845",Comic Book Adaptation,Action
Avengers: Endgame,"$7,243,979,503",Invasion,Action
Avengers: Endgame,"$26,281,156,173",Superhero,Action
Avengers: Endgame,"$7,243,979,503",Alien Invasion,Action
Avengers: Endgame,"$75,358,244,034",Adaptation,Action
Avengers: Endgame,"$9,329,785,937",Conflict,Action
Avengers: Endgame,"$4,397,442,388",Time Travel,Action
Avatar,"$1,201,427,303",Afflicted Character,Action
Avatar,"$2,307,024,899",Environmentalist,Action
Avatar,"$2,866,685,711",Affliction,Action
Avatar,"$1,201,427,303",Physically Afflicted Character,Action
Top Gun: Maverick,"$9,442,598,736",Sequel,Action
Top Gun: Maverick,"$3,169,176,220",Aviation,Action
Black Panther,"$8,642,292,220",Origin Story,Action
Titanic,"$4,654,693,492",Disaster,Action
Jurassic World,"$2,898,894,594",Dinosaur,Action
Jurassic World,"$5,726,821,346",Creature Feature,Action
Jurassic World,"$15,661,712,324",Animal,Action
Incredibles 2,"$24,699,278,227",CGI Animation,Animation
Incredibles 2,"$33,246,069,412",Animation,Animation
The Lion King,"$3,825,537,360",Anthropomorphic Character,Action
The Lion King,"$15,271,694,691",Remake,Action
The Lion King,"$3,825,537,360",Anthropomorphic Animal,Action
Rogue One: A Star Wars Story,"$6,784,366,702",Prequel,Action
Beauty and the Beast,"$2,112,616,480",Cinderella Complex,Action
Star Wars: Episode I - The Phantom Menace,"$2,009,443,630",Space Opera,Action
Finding Dory,"$2,054,665,500",Underwater,Action
Avengers: Age of Ultron,"$5,191,081,585",Robot,Action
The Hunger Games: Catching Fire,"$7,990,048,968",Young Adult Novel Adaptation,Action
The Hunger Games: Catching Fire,"$8,020,554,646",Future,Action
The Hunger Games: Catching Fire,"$4,268,452,298",Post-Apocalypse,Action
The Hunger Games: Catching Fire,"$18,267,473,716",Book Adaptation,Action
Pirates of the Caribbean: Dead Man's Chest,"$2,946,729,553",Hunt,Action
Pirates of the Caribbean: Dead Man's Chest,"$2,042,482,310",Sailor,Action
Pirates of the Caribbean: Dead Man's Chest,"$8,066,288,859",Quest,Action
Pirates of the Caribbean: Dead Man's Chest,"$2,946,729,553",Treasure Hunt,Action
Pirates of the Caribbean: Dead Man's Chest,"$2,042,482,310",Pirate,Action
Pirates of the Caribbean: Dead Man's Chest,"$2,319,334,476",Swashbuckler,Action
Pirates of the Caribbean: Dead Man's Chest,"$7,594,378,288",Criminal,Action
Pirates of the Caribbean: Dead Man's Chest,"$21,806,251,325",Past,Action
Toy Story 3,"$1,151,517,658",Toy Come to Life,Action
Wonder Woman,"$782,624,657",World War I,War
Wonder Woman,"$3,194,827,335",Historical War,Historical
Iron Man 3,"$2,968,744,507",Christmas Season Event,Action
Iron Man 3,"$2,968,744,507",Christmas,Action
Transformers: Revenge of the Fallen,"$3,887,069,681",Cartoon Adaptation,Action
Transformers: Revenge of the Fallen,"$2,787,779,993",Based on a Toy,Action
Transformers: Revenge of the Fallen,"$3,887,069,681",Children's TV Show Adaptation,Action
Transformers: Revenge of the Fallen,"$12,893,071,461",TV Show Adaptation,Action
Transformers: Revenge of the Fallen,"$4,431,170,729",The Middle East,Action
The Lord of the Rings: The Return of the King,"$2,882,536,410",Sword and Sorcery,Action
Harry Potter and the Deathly Hallows: Part 2,"$3,493,792,136",Monster,Action
Harry Potter and the Deathly Hallows: Part 2,"$3,493,792,136",Dragon,Action
Harry Potter and the Deathly Hallows: Part 2,"$9,288,461,876",Children's Book Adaptation,Action
Finding Nemo,"$1,357,328,405",Shark,Action
Finding Nemo,"$1,357,328,405",Man-Eater,Action
Finding Nemo,"$1,357,328,405",Predator,Action
The Passion of the Christ,"$3,600,420,110",Controversial,Action
The Passion of the Christ,"$2,211,765,903",Religious Theme,Action
The Passion of the Christ,"$2,211,765,903",Christian Theme,Action
Despicable Me 2,"$2,725,004,583",Father,Action
Despicable Me 2,"$2,725,004,583",Fish out of Water,Action
Despicable Me 2,"$2,725,004,583",Male Character,Action
Despicable Me 2,"$8,782,125,379",Spy,Action
Deadpool,"$3,683,771,210",Revenge,Action
Inside Out,"$1,409,803,920",Style,Action
Inside Out,"$1,409,803,920",Surreal,Action
Furious 7,"$11,585,635,848",Sports,Action
Furious 7,"$3,011,266,178",Car Racing,Action
Spider-Man: Homecoming,"$2,503,054,456",High School,Action
Spider-Man: Homecoming,"$4,748,593,234",School,Action
Alice in Wonderland,"$2,934,033,226",Rodent,Action
Forrest Gump,"$5,061,425,202",Team Sport,Action
Forrest Gump,"$2,483,739,078",Football,Action
Forrest Gump,"$7,131,402,626",Summer,Action
Harry Potter and the Sorcerer's Stone,"$2,277,015,090",Boarding School,Action
Independence Day,"$1,955,510,465",Politician,Action
Independence Day,"$2,644,920,195",Priviledged Character,Action
Independence Day,"$1,955,510,465",President,Action
The Twilight Saga: Eclipse,"$2,796,342,572",Teenager,Action
The Twilight Saga: Eclipse,"$3,345,427,691",Vampire,Action
The Twilight Saga: Eclipse,"$2,987,977,951",Off-Screen Couples On-Screen,Action
The Twilight Saga: Eclipse,"$1,758,192,048",Werewolf,Action
Up,"$717,353,726",Explorer,Action
Inception,"$4,414,164,730",Caper,Action
Inception,"$4,414,164,730",Heist,Action
Home Alone,"$3,649,330,606",Christmas Theme,Action
The Matrix Reloaded,"$689,409,730",The Chosen One,Action
The Matrix Reloaded,"$1,271,071,885",Virtual Reality,Action
The Matrix Reloaded,"$4,833,590,033",Martial Arts,Action
The Matrix Reloaded,"$1,795,587,837",Person vs. Machine,Action
The Matrix Reloaded,"$1,715,864,152",Wire-Fu,Action
The Twilight Saga: Breaking Dawn - Part 1,"$1,261,556,383",Pregnancy,Action
The Hangover,"$1,379,324,272",Las Vegas,Action
The Hangover,"$6,322,226,389",USA,Action
The Hangover,"$6,145,426,121",Erotica,Action
The Hangover,"$1,379,324,272",Nevada,Action
The Hangover,"$7,529,052,690",North America,Action
The Hangover,"$5,040,431,707",Bawdy Comedy,Comedy
Monsters University,"$2,106,701,584",University,Action
Jaws,"$1,129,929,390",Terror in the Water,Action
Captain America: The Winter Soldier,"$3,859,083,789",Politics,Action
Captain America: The Winter Soldier,"$4,530,526,790",Chase,Action
I Am Legend,"$4,693,166,157",Near Future,Action
Men in Black,"$5,543,642,286",Buddy Comedy,Comedy
Moana,"$1,163,629,231",Hawaii,Action
Ghostbusters,"$2,416,050,392",Horror Comedy,Comedy
Bruce Almighty,"$1,677,495,958",News Industry,Action
